0.13297664 ,0.28713117 ,0.35783619 ,0.16130282 ,0.11658129 
0.13159305 ,0.27999685 ,0.33617984 ,0.15828719 ,0.09972265 
0.14037952 ,0.29626974 ,0.37894875 ,0.18565557 ,0.10660950 
0.12561382 ,0.26182688 ,0.33390788 ,0.17967956 ,0.14057120 
0.14967084 ,0.31064945 ,0.38897250 ,0.20193095 ,0.14951451 
0.15978946 ,0.33904608 ,0.42414955 ,0.23429018 ,0.15817706 
0.15327269 ,0.32099500 ,0.39415492 ,0.20893740 ,0.11121862 
0.17841581 ,0.35526056 ,0.42421252 ,0.22611426 ,0.16711487 
0.16699180 ,0.32897232 ,0.39378471 ,0.20762375 ,0.12268944 
0.19665852 ,0.38826034 ,0.45548632 ,0.24341490 ,0.16671639 
0.17820295 ,0.35637688 ,0.43943392 ,0.20891884 ,0.14030828 
0.18497583 ,0.36807262 ,0.44657599 ,0.21971333 ,0.16601210 
0.17752563 ,0.34604128 ,0.43829331 ,0.27733779 ,0.15895314 
0.21766635 ,0.40299293 ,0.48443463 ,0.24034745 ,0.17525574 
0.27052605 ,0.47450329 ,0.52345932 ,0.26589283 ,0.18021098 
0.28130570 ,0.49316494 ,0.53881095 ,0.28241705 ,0.14107401 
0.26629649 ,0.48726334 ,0.55278935 ,0.27908470 ,0.18264928 
0.23342571 ,0.41520740 ,0.47724813 ,0.25658872 ,0.17895919 
0.42128574 ,0.63070885 ,0.64837846 ,0.29084635 ,0.26510629 
0.31938802 ,0.52156475 ,0.56892512 ,0.26517766 ,0.21210301 
0.37784460 ,0.52547367 ,0.53733792 ,0.29579992 ,0.27081666 
0.54137019 ,0.71477534 ,0.70177887 ,0.35224398 ,0.33160283 
